,Palavra,Relevância
0,bigmaap,16.514192911211424
1,alphamac,16.3112048660346
2,jiosaavn,15.784734819806456
3,macmini,15.067766431863323
4,bungou,14.736421173652186
5,cider,14.550030862987636
6,carplay,14.39968525358834
7,vinegar,14.374925605753358
8,podcastsgoogle,14.32931045971966
9,lingonberries,14.136649568212954
10,superfruits,14.113068573497326
11,apricots,14.09354059130235
12,zaicoski,13.987428562476893
13,chicory,13.928755490241217
14,choline,13.924968859625913
15,jurasic,13.894950200607001
16,podcastsandroidby,13.803955109999972
17,aptiv,13.798430443979298
18,sauce,13.756268353276543
19,podcastsspotifyandroidrss,13.755247564252235
20,centrium,13.73201521221919
21,emailrss,13.722782927309515
22,clematis,13.678552893145232
23,emailrssmore,13.646028369349334
24,slingbox,13.607385947583264
25,byafra,13.60172748785583
26,belkin,13.55630057920056
27,shinpan,13.530661772294305
28,arawak,13.521140085843125
29,arcitura,13.515125792262584
30,bearly,13.511091494442349
31,apostolis,13.501727921354176
32,bayón,13.495296892207035
33,apbm,13.482428713637182
34,aswb,13.461092613046226
35,prunes,13.427844647861678
36,flour,13.424599629826233
37,crab,13.414396627516679
38,安心保証,13.402589178978708
39,antix,13.395107893036995
40,calefatores,13.364530450373323
41,antiransomware,13.339066258259198
42,boyce,13.33849176126089
43,podcaststuneinandroidstitcherby,13.293123110710257
44,preserves,13.269491086194385
45,apics,13.26929927726139
46,holtwood,13.267230286223462
47,currant,13.250865722646905
48,aquazurra,13.240505520019417
49,bungo,13.226572339923043
50,apricot,13.189329218891398
51,tiendamia,13.189119556543496
52,ispecial,13.159199734820406
53,castbox,13.157433758500309
54,iheartradio,13.12695332102575
55,baharat,13.101044793016031
56,pocketcast,13.014391225047026
57,podcastsspotifyandroidby,13.008371495855982
58,arboretum,12.960248767992997
59,anthem,12.95983967216549
60,apost,12.943013692757013
61,techit,12.918293353533512
62,appleinc,12.917087063920151
63,bwh,12.872377891491805
64,chitosan,12.856651639026738
65,ネットワーク半年保証,12.856543767419828
66,cloudtags,12.826228421255054
67,googleplay,12.817408147471484
68,elm,12.762232231517965
69,podcastsspotifytuneinrss,12.760252090456992
70,spadaro,12.748379259753532
71,cranberries,12.743515487738895
72,naver,12.654371096899263
73,alphabet,12.653667932279959
74,arista,12.651806434957498
75,torvalds,12.61441178976692
76,septpro,12.582141191060712
77,最近の投稿,12.562166018549282
78,podcafé,12.542007823598235
79,assistãªncia,12.452482588419723
80,白ロム,12.427301496512413
81,rafaelgv,12.420942454370588
82,downloadassine,12.387899190334283
83,jaooheavy,12.386622948898113
84,estrelará,12.37848928244594
85,accellion,12.33587096353536
86,imacs,12.326105266478407
87,trendings,12.321149441534962
88,passaí,12.312170680029558
89,multadas,12.297544647030032
90,developer,12.270268067976438
91,botanicals,12.266280107435952
92,acai,12.264178936874522
93,toler,12.249818987273773
94,gforce,12.224933693309993
95,tamron,12.222959237007789
96,rendez,12.195213330177522
97,ampro,12.194142154284116
98,dried,12.193355712515555
99,kobo,12.180605989689148
