,Palavra,Relevância
0,apple,4.752766869312244
1,outlook,4.725407116189645
2,developer,4.315698987918499
3,export,4.251468045875702
4,calendar,4.197232849371618
5,macbook,4.002740372038145
6,academy,3.835035664633259
7,neurociência,3.6949101222247926
8,adicione,3.658556341456722
9,imac,3.6015089669702522
10,cognitiva,3.5787791319740143
11,vinegar,3.542917296412102
12,ipad,3.529268019763286
13,podcastsgoogle,3.487578915400842
14,cider,3.487578915400842
15,deezer,3.451421777075238
16,astrofísica,3.4299904841077344
17,embed,3.4003778297762013
18,centrium,3.261177574075723
19,watch,3.230749782064967
20,mackenzie,3.160879842372299
21,assistências,3.1528494219592433
22,belkin,3.1376850575329107
23,carplay,3.1376850575329107
24,anthem,3.0683489831615134
25,mecânicos,3.0678366310366796
26,fóruns,3.0596107136313004
27,mac,3.054100165469978
28,android,3.048830000227245
29,antix,3.0454472803433896
30,spotify,3.006449644073132
31,iheartradio,3.0028343302598484
32,apc,3.001601520290279
33,podcastsandroidby,2.9412193446409542
34,alphabet,2.88328519821178
35,ios,2.849738597471126
36,amazon,2.843484816385288
37,apartment,2.8418491072308543
38,store,2.8391339466649566
39,air,2.8374098985374854
40,play,2.831471951588818
41,aquarius,2.8310842875485016
42,fire,2.8150686555755824
43,iphone,2.8068779062463984
44,dataprev,2.7906207326953187
45,phone,2.7722956507935983
46,cabrini,2.7537589148528623
47,iphones,2.7511609046368846
48,other,2.7379664878924155
49,emailrss,2.6972791264002707
50,smartwatches,2.6770904287767747
51,kipling,2.6560845517263
52,melaço,2.6315618293151304
53,amd,2.6248068556797053
54,stray,2.6097512429989433
55,windows,2.6004335855934246
56,calendário,2.5991976375345276
57,hbo,2.59665645838524
58,multadas,2.595140012668639
59,astronomia,2.582051695304074
60,hubs,2.5469868768397843
61,add,2.532203875458949
62,orçamentos,2.491843192708561
63,elo,2.4376094595819993
64,acer,2.417194062567958
65,iniciar,2.361732330278054
66,revendas,2.3274550996792924
67,baixar,2.325535270472971
68,aplicativos,2.3178428663990664
69,google,2.314294839908916
70,sessão,2.308236612326483
71,vinagres,2.3000937276731195
72,safari,2.2950165985852604
73,reabre,2.2783897853989834
74,cisco,2.2721916920917224
75,liguei,2.26788395796051
76,estaria,2.264490007634083
77,câmeras,2.259864147187605
78,frances,2.2528616273063693
79,macmagazine,2.2435781367912004
80,asq,2.235331936749342
81,blackberry,2.2315105200468617
82,buscador,2.224683079876205
83,placa,2.1904189099959956
84,teclado,2.1781684185674712
85,xiaomi,2.1775900120921636
86,pcs,2.176662220950466
87,podcasts,2.1698820718121676
88,sauce,2.1696204184337904
89,music,2.1671142152174743
90,anne,2.1619775850288296
91,itunes,2.1616796747403355
92,agências,2.157092876820109
93,pulseira,2.1298427498976484
94,removem,2.1171507843962387
95,testando,2.1109733661970784
96,crab,2.094399803754871
97,dji,2.0897122274909052
98,aoc,2.085701041275637
99,big,2.0746074818236875
