,Palavra,Relevância
0,tripartite,8.57524053663158
1,intergestores,8.490122163822184
2,cit,7.93257551085204
3,cobasi,7.924734302808565
4,yubb,7.308595264972819
5,formatprice,7.045521214332969
6,defence,7.004174047603121
7,pub,6.978194854370128
8,airways,6.829766522061188
9,vaio,6.748948023903177
10,locomover,6.6501313240556374
11,naturals,6.601635425060392
12,organics,6.557020449210615
13,cancún,6.51260024880148
14,seas,6.472240536970609
15,visualizado,6.459986302966112
16,ufsc,6.428438534402568
17,cialis,6.38578193420881
18,vitamin,6.338840311369174
19,herbs,6.32968892870072
20,invicta,6.295087506905309
21,dbo,6.174553834392936
22,curtircurtir,6.168088924803373
23,mackenzie,6.128223753349823
24,domini,6.1200051261827735
25,capelania,6.085719813604868
26,hospedar,6.046700695546496
27,megafonar,6.013830856729626
28,muza,6.005668660519697
29,stoodi,6.003793528513019
30,barbearias,5.98738478734312
31,aeromexico,5.958456700475994
32,huilo,5.958456700475994
33,macbook,5.954340452162545
34,agecom,5.928047498008999
35,franzoni,5.9159327753848325
36,multivitamínico,5.860225498352792
37,impalpável,5.859845097460639
38,flour,5.859845097460639
39,eloá,5.855231339720486
40,jah,5.829132444249796
41,thunderbolt,5.82584692016089
42,isbn,5.825836251896708
43,crm,5.816677507658895
44,bangkok,5.810696950937578
45,roots,5.790620803485476
46,viagra,5.789087289277591
47,neurociência,5.7794958110529695
48,hitcast,5.778249233161444
49,twittershare,5.758639257032956
50,formulas,5.73922650875926
51,linkedinshare,5.736018479307456
52,airlines,5.714696720718497
53,nutrition,5.658033254504288
54,anakin,5.643297380077768
55,wa,5.60988203174071
56,punta,5.585131129457975
57,foods,5.564644471054507
58,messeger,5.517431599112637
59,dating,5.507218771293639
60,fórmulas,5.501762248983375
61,ras,5.48306039330614
62,freud,5.476183955352942
63,benevento,5.472755386036659
64,agroindústrias,5.472755386036659
65,アメリカ,5.47221023999372
66,routledge,5.460288785238964
67,stylus,5.444793485611686
68,zotero,5.441314010308035
69,misturas,5.432843887555929
70,reggae,5.420458854727322
71,combinations,5.410201153422188
72,cânhamo,5.402164459035053
73,dub,5.402164459035053
74,duet,5.3986034917660435
75,shoujo,5.365153534846765
76,stargate,5.348249432422456
77,vitamins,5.346566781102309
78,thanks,5.344338496915253
79,fnas,5.344319352590493
80,snas,5.340958786765194
81,calendar,5.340955200309688
82,mendeley,5.336895852054269
83,エクステリア,5.3230450136264915
84,alitalia,5.317709614617207
85,コスプレ,5.3143759446181535
86,sacolinha,5.304183971067151
87,kamagra,5.298253010462195
88,pactual,5.28446608626132
89,currency,5.283647769859181
90,tea,5.269806860784024
91,encordoamento,5.263790131718803
92,bars,5.26219688691281
93,duologia,5.25481786792491
94,tamboré,5.243585369827937
95,springs,5.240746975282103
96,btg,5.232012146047336
97,modalmais,5.2313683731012635
98,organic,5.23108744101591
99,crackers,5.2297022838891545
