,Palavra,Relevância
0,mipow,16.68201025289816
1,blackbarry,15.944082143367375
2,seanite,15.390683813434002
3,nanofixi,15.269353534101057
4,markvision,15.257776984661877
5,apocaliptica,14.950827104136376
6,favix,14.93863381150091
7,bravva,14.923153644822829
8,homepod,14.829542031898942
9,guarapuã,14.802947615748339
10,gamepads,14.794535852166259
11,sixer,14.777648981428786
12,tvos,14.602024994982212
13,incell,14.572297101799029
14,garageband,14.55929853653531
15,keyboard,14.54919532242352
16,watchos,14.479616032153373
17,zhndu,14.446601760876414
18,airpods,14.445228007209279
19,applecare,14.419053426415015
20,qtek,14.377700882134357
21,airpod,14.370138074935035
22,hermílio,14.366674927355788
23,iclam,14.365369260600087
24,topsom,14.324109654033979
25,powerpack,14.302679458676387
26,ringke,14.209145711418785
27,icloud,14.170656074406489
28,vibracall,14.144826136235352
29,personalizaveis,14.092237189816696
30,allfibra,14.090323802127264
31,archos,14.077411780382398
32,smartthings,14.073441643784163
33,bgh,14.071490643164896
34,daxon,14.071329471693456
35,blackview,14.06925964779178
36,lenono,14.03776681685687
37,ocz,13.99840115511307
38,goldship,13.984824044993845
39,sancionam,13.960162224466082
40,rebatizado,13.940797455747164
41,thumbox,13.940204688301865
42,pencil,13.928672442045952
43,xcover,13.902594474820697
44,dëff,13.834796181404853
45,duos,13.801708212812311
46,aéropostale,13.796033984414537
47,dellnotebooks,13.778285947970861
48,lenovonotebooks,13.778285947970861
49,joysticks,13.721312362973325
50,zenfones,13.679375053972487
51,repagina,13.663350766260917
52,dvdrw,13.621359740944294
53,velozz,13.619989251039467
54,inbuilt,13.60863463020374
55,anycool,13.593368767990425
56,watc,13.589918429798118
57,diptyque,13.575663446497803
58,corêa,13.572510450243312
59,ericsson,13.534572741649363
60,motorolaone,13.52633214477388
61,aplle,13.515003591802353
62,fonepad,13.500154384182258
63,citigroup,13.497683030932729
64,olloclip,13.433163571278383
65,capinha,13.428903440359058
66,recci,13.407309599479333
67,altomex,13.394430975557341
68,canaltech,13.394029394870053
69,battlelog,13.364551375685108
70,gumdrop,13.361733814213096
71,okidata,13.360468523732902
72,incipio,13.343991374413138
73,notch,13.333819118679182
74,spigen,13.31217299263091
75,kobrasol,13.30240716888569
76,kidston,13.296646022778608
77,otterbox,13.293876466986685
78,catchbox,13.291462177921652
79,fisiothera,13.289689933695929
80,garten,13.286445308492123
81,navegantesassistencia,13.28111510135511
82,alcatel,13.276295798368226
83,desbloqueado,13.271503040587131
84,bvolt,13.263241557293364
85,notestar,13.247008264518232
86,ragtech,13.237593253209088
87,sonix,13.23459504870173
88,predialnet,13.231800544602809
89,apparício,13.217486770263703
90,sandisk,13.207115458936943
91,uag,13.171035571764953
92,nextpit,13.16692891539943
93,cardin,13.15251159370207
94,iconx,13.14625890522557
95,belarmino,13.13494333221158
96,lifeproof,13.124651163231565
97,exxonmobil,13.106221863669369
98,sanmarco,13.078535273543984
99,hprime,13.003090282715776
