,Palavra,Relevância
0,airpods,6.142245862815565
1,keyboard,6.1185884569860205
2,homepod,6.090586216368896
3,galaxy,5.909447183962771
4,samsung,5.689692515943436
5,watchos,5.641184048880848
6,garageband,5.641184048880848
7,tvos,5.620717712436177
8,applecare,5.600744589045331
9,watch,5.558819322763883
10,icloud,5.472977643973286
11,pencil,5.456232740875636
12,alcatel,5.364732965395889
13,ericsson,5.259409911169823
14,stores,5.258623058349774
15,apple,5.258244764549089
16,ipod,5.252476535468423
17,siri,5.129524142394981
18,xiaomi,5.084070134207818
19,motorola,5.0132302360603465
20,asus,4.975424151241424
21,nokia,4.938305611101571
22,ipad,4.903453126971317
23,series,4.8246353312176895
24,arcade,4.7708703837550415
25,zenfones,4.738382002790422
26,notch,4.716482470019937
27,sony,4.683902921129473
28,blu,4.659108298645246
29,lg,4.61673528583278
30,semp,4.599684886103729
31,note,4.590408053593943
32,belarmino,4.544085175185954
33,huawei,4.541086611052717
34,iphone,4.4837216929604775
35,pip,4.482890291484717
36,películas,4.446496856025688
37,brastemp,4.438596770059709
38,dell,4.380220853542961
39,mac,4.35675742710783
40,qbex,4.306301676893127
41,pay,4.300444232678924
42,bravva,4.298633894917687
43,ragtech,4.298633894917687
44,aéropostale,4.278284776820967
45,cut,4.274702394086811
46,maps,4.2667708071244945
47,frontal,4.249267061045985
48,airpod,4.188884829632889
49,lenovo,4.166161789629939
50,nextpit,4.155643577966362
51,books,4.118950194031784
52,multilaser,4.079794690538108
53,hardware,4.055605357090695
54,magic,3.9794729028176596
55,anacapri,3.9687754452304724
56,sandisk,3.937728287236737
57,bose,3.908274008332543
58,acer,3.880286027588236
59,plana,3.875879860466101
60,perdigão,3.8406391561783053
61,blackberry,3.791738771290294
62,touch,3.7822524548048
63,falante,3.7799714923073227
64,rebatizado,3.7797527706739227
65,amvox,3.7671478449784224
66,tecmundo,3.7513680003227288
67,sadia,3.7466778159573595
68,card,3.718919043161649
69,canaltech,3.7085089794553987
70,incell,3.682358879877143
71,bak,3.682358879877143
72,pedaço,3.6813174100025927
73,microsoft,3.6647740051718816
74,quantum,3.6508865212690007
75,brahma,3.638382628824126
76,ubisoft,3.6207125409980807
77,gocase,3.6065336265715824
78,twittershare,3.586515448409639
79,dl,3.583104885211014
80,maxprint,3.557904021057566
81,sancionam,3.557904021057566
82,linkedinshare,3.5529985545725284
83,tcl,3.546278041202083
84,notebook,3.4930818778552752
85,music,3.4816124251664875
86,arezzo,3.4575878721046935
87,luizaseg,3.4492533979591826
88,air,3.443296378941637
89,blackview,3.4387670040165013
90,bgh,3.4387670040165013
91,powerpack,3.4387670040165013
92,archos,3.4387670040165013
93,pro,3.4153941208773033
94,smart,3.4142980902211306
95,display,3.410825315027666
96,seagate,3.4005950721354377
97,buscados,3.400108242747307
98,arno,3.3607428144881273
99,tectoy,3.35560460164042
