,Palavra,Relevância
0,rappi,9.300708992244694
1,dealextreme,8.405747514767494
2,canaltech,7.40260511439205
3,garten,7.371881755647429
4,ibicoara,7.127046436998287
5,redmi,7.11291188542801
6,xperia,7.0832620318405155
7,zojirushi,6.995913021317957
8,battlefield,6.8699787599061715
9,ipod,6.709195859437816
10,venetian,6.49699985945707
11,homepod,6.418062582331573
12,galaxy,6.400891362781515
13,honor,6.400294699963073
14,subli,6.3885233164699775
15,xiaomi,6.37521469049065
16,pontofrio,6.372940318037401
17,zinzane,6.354797588912937
18,obm,6.35203219889885
19,nextpit,6.326207853456689
20,airpods,6.32459906278202
21,lumia,6.3100349048863285
22,huawei,6.300850638029964
23,macmagazine,6.284889722768223
24,armyshield,6.284813521258194
25,zenfone,6.276428249255886
26,visioncenter,6.242960715241647
27,ryzen,6.141778010467946
28,keyboard,6.1185884569860205
29,snapdragon,6.0904726359467745
30,dermocosmético,6.0770706584823415
31,macbook,6.004171793976992
32,imac,5.983943735063345
33,renner,5.9762232526408505
34,alcatel,5.975933020941847
35,tpu,5.9725279057448075
36,xs,5.9439173097101605
37,qualcomm,5.936812118908578
38,note,5.928410816832746
39,películas,5.917094516275815
40,mah,5.888356739880337
41,watchos,5.8725873691664106
42,tecmundo,5.830282531548337
43,iphone,5.8279472009566
44,maxprint,5.811723986377303
45,ipad,5.799494968255988
46,realme,5.784273538396839
47,polegadas,5.77962377599399
48,masterpass,5.750519002558512
49,nokia,5.739376166962395
50,motorola,5.711872155703095
51,ericsson,5.697978482265308
52,gocase,5.695588716033791
53,samsung,5.692675497982457
54,kaidi,5.68909480083446
55,prensa,5.688513745356783
56,garageband,5.672495521934696
57,iphones,5.666379655789375
58,ipados,5.662178377771739
59,iwork,5.641184048880848
60,airplay,5.641184048880848
61,tvos,5.636411767444349
62,watch,5.635433068048693
63,applecare,5.600744589045331
64,desativada,5.597291398344939
65,multilaser,5.5970760553585395
66,imovie,5.593059726662926
67,deal,5.584928774930697
68,homekit,5.5812414653906375
69,elg,5.579511219887369
70,thanks,5.569554075372673
71,julbo,5.564298582744736
72,elsys,5.564298582744736
73,botton,5.530337951848974
74,asus,5.527032100117102
75,keynote,5.505397084047274
76,icloud,5.503355484961753
77,blu,5.49627665057738
78,dazz,5.4936459037803385
79,core,5.478500461766627
80,macos,5.477972191001792
81,mai,5.468388782246001
82,lg,5.461725841159754
83,pencil,5.456232740875636
84,shuffle,5.456232740875636
85,polimero,5.450649648493378
86,capinhas,5.4477848988854145
87,amazfit,5.4297327813576715
88,noma,5.429600033265006
89,forward,5.424441799926918
90,cupom,5.401919454768006
91,ragtech,5.394558252800541
92,multiassistência,5.391886681891761
93,loop,5.365867259107691
94,banqi,5.362034696034106
95,fev,5.351472606957045
96,lite,5.333393460782651
97,acer,5.33129398068589
98,duos,5.3264307936248585
99,lenovo,5.3211479630184515
