,Palavra,Relevância
0,proxpress,17.33792395995686
1,antishock,17.266880781599326
2,navegantesconserto,16.789664039498366
3,rheem,16.581784620246076
4,gravatáconserto,15.504423399268974
5,trane,15.277148703073193
6,rugerinni,15.265484208681967
7,comfee,15.101580330264628
8,prowiew,15.018373893415287
9,hbuster,14.919886550875082
10,okidata,14.805768226781167
11,scannya,14.751878694433394
12,midea,14.650706935893767
13,lermark,14.601963148233914
14,wipper,14.542916341235255
15,daikin,14.539453535353443
16,newteck,14.532668765183328
17,bicai,14.495493444743135
18,satum,14.40633018365252
19,zsus,14.366410180877239
20,benmax,14.26943274134699
21,granduos,14.152921486165404
22,monocromatica,14.140000515443083
23,powecolor,14.090881874863372
24,schipsce,14.0868628889959
25,ofertamenudptoeletronicos,14.069124951644486
26,springer,13.995729579489463
27,danieltpisuprimentos,13.9761891043672
28,lexmark,13.973700502657305
29,ricoh,13.884068996739092
30,acessórioscaixa,13.837135097429917
31,medison,13.833142193626474
32,acessóriosfones,13.83288298605273
33,sbarro,13.79739621640385
34,minidv,13.687793660640239
35,carrier,13.58786364877246
36,prosdocimo,13.570711096810028
37,ysus,13.540924323029914
38,riotoro,13.531879726124327
39,mídea,13.503723860968485
40,impulsionadoras,13.467535038203515
41,ecoprint,13.464715563193472
42,samark,13.402636623026558
43,olidata,13.371681738727814
44,contatora,13.260987360507695
45,saramonic,13.25897186991031
46,xerox,13.257753498018577
47,photocondutores,13.252588332495302
48,vogga,13.181065236578549
49,imagistic,13.180342629073772
50,scandisk,13.159670930126683
51,olivetti,13.125253236787207
52,telecel,13.123672329447
53,tempstar,13.070378444239582
54,scx,13.00836785257411
55,smeg,12.980483415968308
56,sanyo,12.978924180195143
57,meuspy,12.975732402503748
58,semtech,12.931651175313146
59,sitear,12.924113588983866
60,salsaretti,12.917464020937942
61,samsunc,12.89499216334787
62,maytag,12.868631850565713
63,manuteção,12.844707877538582
64,ecobubble,12.830155339492359
65,addwash,12.827840064412666
66,clindro,12.827488003403365
67,peur,12.797509691876595
68,fotocondutor,12.794681369277912
69,compativel,12.776467072681527
70,safepack,12.741376695362314
71,sataii,12.739897810412009
72,sonosite,12.737337566938432
73,komeco,12.736605414157012
74,okity,12.676734577583602
75,trocal,12.673830298100967
76,abastec,12.662668003146681
77,orientek,12.659320613229106
78,phyhome,12.65078888072315
79,spinpoint,12.634128029881484
80,projetelas,12.618530819942768
81,convertendo,12.611687383390933
82,lasercolor,12.5971886376264
83,bhother,12.588521674262385
84,sanken,12.584465554248172
85,ozzie,12.57697358819212
86,plusdata,12.56146771265296
87,purolite,12.55480126851256
88,sagna,12.543976218278878
89,sceo,12.525083482968448
90,mitsuca,12.513456392806702
91,hardreset,12.503412957189587
92,duos,12.444328067282596
93,gorenje,12.443055733229386
94,agratto,12.422751781407465
95,varicap,12.419919286527197
96,syncmaster,12.419528233854798
97,evaporadora,12.406642809395306
98,esaote,12.377991913117366
99,sunfire,12.373338488581163
