,Palavra,Relevância
0,samsung,5.411943241250694
1,xerox,4.87671106473547
2,lexmark,4.693025098664732
3,acessórioscaixa,4.635649568915714
4,acessóriosfones,4.635649568915714
5,toner,4.58850962341965
6,galaxy,4.40497261058969
7,drivers,4.279646619744604
8,ricoh,4.237290799135949
9,mono,4.163283945298963
10,lg,3.9154837096618067
11,okidata,3.875100109740716
12,blackmagic,3.875100109740716
13,ofertamenudptoeletronicos,3.875100109740716
14,panasonic,3.843160093092478
15,sharp,3.7752369805555444
16,electrolux,3.76857864959557
17,smartphones,3.747912641268005
18,medison,3.682358879877143
19,impressoras,3.6167774797207826
20,conserto,3.588734030579401
21,motorola,3.54232202431719
22,notebook,3.476760906363664
23,autorizada,3.4731086127803286
24,driver,3.4688553158732027
25,tcl,3.4637300821463546
26,hp,3.462118640597439
27,gree,3.3951032613982366
28,toshiba,3.394271448188629
29,zenfone,3.38321795513916
30,philco,3.376940572178426
31,copiadoras,3.3712661258723826
32,multifuncional,3.3582710930241513
33,smartphone,3.3216915005489365
34,enterprise,3.3134059118362496
35,ssd,3.2890343670819986
36,pcie,3.2863736709590317
37,filmadora,3.280697028808945
38,impressora,3.275944204282244
39,side,3.262918737908657
40,nvme,3.213107496095461
41,brother,3.205926627351584
42,uhd,3.177725005626008
43,sanyo,3.175726176594358
44,semp,3.1565012422247873
45,lentes,3.146524658262571
46,saramonic,3.1376850575329107
47,sandisk,3.101392825532912
48,windows,3.0866078706324287
49,xp,3.0805646314833224
50,philips,3.0649270030535356
51,htc,3.0527540427376603
52,sonosite,3.0028343302598484
53,ultrabook,2.968406059454289
54,flash,2.9425085571376113
55,mindray,2.9412193446409542
56,telefonia,2.9073152891673786
57,btus,2.869742530763936
58,smart,2.8179810435357813
59,ge,2.7944546595664455
60,xiaomi,2.764808675001078
61,nikon,2.7626715649438456
62,bonilha,2.7523778554334615
63,asus,2.747435609135603
64,lavar,2.7180834769082494
65,incell,2.6972791264002707
66,localizar,2.677807673946145
67,seca,2.6668391968181986
68,note,2.651351033233199
69,sacar,2.6284850953432737
70,frontal,2.602938315768782
71,tlc,2.595140012668639
72,convertendo,2.5892633464108727
73,crystal,2.569543039737063
74,color,2.5679015519447606
75,toners,2.5385493332645237
76,chipset,2.534340595202029
77,lavadora,2.534222039368333
78,lava,2.5320597496413284
79,lenovo,2.52363429475276
80,harness,2.5188513024013464
81,máquina,2.507996736090259
82,dual,2.4953614839579616
83,laser,2.491349487888422
84,espiao,2.486868189025746
85,configurada,2.486868189025746
86,locação,2.4718503641696645
87,jordanópolis,2.471434764533426
88,alcatel,2.4670876132699995
89,split,2.4571561092677716
90,assistência,2.4486272127327204
91,cartuchos,2.4485238366193602
92,refrigerador,2.4373300898517165
93,condicionado,2.427182227985347
94,sony,2.422219029521346
95,aluguel,2.4134528892531733
96,compatível,2.411623027676831
97,jáganhei,2.4072252035697757
98,core,2.4051629015073486
99,secadora,2.3865597238203247
