,Palavra,Relevância
0,espiao,8.9976428968375
1,gimbal,8.79017796222877
2,riachuelo,8.381379004946032
3,espião,8.313283151940292
4,mococa,8.287446032059586
5,grampear,7.899398107348764
6,loans,7.762044285875257
7,monopé,7.715959657760279
8,falcao,7.58323905169584
9,btus,7.211814895473464
10,payday,7.154486006122795
11,itaquerão,7.141144676882256
12,suárez,7.087222821352149
13,cams,7.0250806132585355
14,chloroquine,6.995913021317957
15,teens,6.9059277113365765
16,battlefield,6.769433075404855
17,sharp,6.665948513398411
18,controller,6.604205705746931
19,xerox,6.593625302218922
20,lofra,6.578140697593388
21,dating,6.505799680625523
22,jvc,6.477448037066816
23,smeg,6.432041912992824
24,rchlo,6.384720996588554
25,rastreador,6.373999360510107
26,sas,6.254457722057105
27,espionar,6.2301581593609745
28,conserto,6.2017350688010024
29,suéter,6.196256862404943
30,nvme,6.192043411050131
31,copiadora,6.1905002985082955
32,electrolux,6.184979378852467
33,havan,6.116978034672372
34,speedlite,6.090894560686779
35,brides,6.078127382524506
36,softbox,6.0753707957768235
37,fujifilm,6.065975725319188
38,copiadoras,6.052850208030622
39,assemelhada,6.051586978083504
40,credit,6.019488538491168
41,laserjet,5.993740651979414
42,kinect,5.97439390692546
43,numero,5.971761506750163
44,íntima,5.955258361965158
45,gratis,5.9454882162714435
46,canon,5.926036061759833
47,toner,5.917289138829982
48,dcs,5.914156657682012
49,afp,5.9033133828623185
50,nikon,5.89864756164647
51,perfume,5.835092886995212
52,iluminadores,5.819679974663414
53,secadora,5.813028490896834
54,manchetes,5.802522133177539
55,tripé,5.798603953383855
56,pool,5.779075045795288
57,loan,5.7472664687125965
58,surfwear,5.74241271420548
59,hookup,5.736386966737573
60,meninos,5.735672725066815
61,bride,5.714636255986921
62,lenders,5.70538934280166
63,lexmark,5.69904260555697
64,impressoras,5.694908575077555
65,gorro,5.680981029781526
66,outsourcing,5.659668688826668
67,hier,5.657089801815538
68,smartband,5.64039075322731
69,axis,5.632630500900856
70,porn,5.629550095885656
71,verdão,5.626696262797828
72,dslr,5.624051565948827
73,lga,5.607092374742956
74,cam,5.601201701341308
75,bad,5.575625567656245
76,mirrorless,5.554364169738881
77,zenfone,5.550287617733971
78,ak,5.540851062879915
79,sizecalça,5.534378578624579
80,danfoss,5.523538319815715
81,condensadora,5.50104326413716
82,velez,5.4936459037803385
83,meninasver,5.467047557226703
84,eletroportáteis,5.46306370951146
85,sata,5.442149603138576
86,coca,5.4411255343887195
87,gimbals,5.429600033265006
88,rebatedor,5.429600033265006
89,xxx,5.428224379259672
90,samsung,5.416284699989571
91,pcie,5.400825058353815
92,colônias,5.3970245134014085
93,hp,5.392328189972636
94,estreias,5.391106175906485
95,impressora,5.358443720534276
96,epson,5.353700476360341
97,worldview,5.339871483301762
98,posta,5.339502450698769
99,casaco,5.30857962811041
